Course Code,Course Title
CSA2003,Digital Logic and Computer Architecture
CSA3006,Data Mining and Data Warehousing
CSA3007,Deep Learning
CSA4002,Artificial Neural Networks
CSA4008,Applied Machine Learning
CSA4028,Natural Language Processing
CSA4029,Reinforcement and Representation Learning
CSD3009,Data Structures and Analysis of Algorithms
CSE2001,Object Oriented Programming With C++
CSE2004,Theory Of Computation And Compiler Design
CSE3001,Database Management Systems
CSE3003,Operating System
CSE3006,Computer Networks
CSE3011,Python Programming
CSA3001,Agent Based Intelligent Systems
CSA3004,Data Visualization
CSA3010,AI in Industry 4.0
CSA3011,Bayesian Data Analysis
CSA3012,Immersive Multimedia
CSA3013,Surveillance video analytics and Image Processing
CSA3015,R Programming
CSA3017,Knowledge Engineering
CSA3018,Computer Vision for Autonomous Vehicles
CSA3019,Pervasive AI for IoT Applications
CSA3020,Generative AI
CSA3021,Drone Technology
CSA3022,Internet of Things and its Applications
CSA4005,Expert Systems and Fuzzy Logic
CSA4007,Cognitive Analytics
CSA4010,Data Analytics Using Scala Programming
CSA4011,Information Retrieval and Web Search
CSA4012,Introduction to Brain and Neuro Science
CSA4015,Computational Intelligence
CSA4016,Hardware Architecture for Machine Learning
CSA4019,Machine Learning with Big Data
CSA4021,Graph Analytics for Big Data
CSA4022,Parallel and Distributed Systems
CSA4023,Speech System
CSA4024,Theoretical and Computational Neuroscience
CSA4030,Predictive and Time Series Analysis
CSE3010,Computer Vision
CSE3015,AWS Cloud Practitioner
CSE3016,AWS Solution Architect
CSE3017,Salesforce
CHY1005,Introduction to Computational chemistry
MAT1001,Calculus and Laplace Transforms
MAT2002,Discrete Mathematics And Graph Theory
MAT3002,Applied Linear Algebra
MAT3003,Probability, Statistics And Reliability
PHY1001,Engineering Physics
CSA2001,Fundamentals in AI & ML
EEE1001,Electric Circuits and Systems
MEE2014,Engineering Design and Modelling
CSE1021,Introduction to Problem Solving and Programming
CSE2006,Programming in Java
PLA1004,Competitive Coding Practices
PLA1006,Lateral Thinking
SST1003,Professional Communication Skills for Engineers
SST2003,Dynamics of workplace communication Skills
CHY1006,Environmental Sustainability
ENG1004,Effective Technical Communication
ENG2005,Advanced Technical Communication
DSN2092,Summer Industrial Internship
DSN2093,Semester Internship
DSN2098,Project Exhibition – I
DSN2099,Project Exhibition – II
DSN3099,Engineering Project in Community Service
DSN4091,Capstone Project - Phase 1
DSN4092,Capstone Project - Phase 2
MAT2001,Differential And Difference Equations
MAT2003,Applied Numerical methods
MAT2004,Operations Research
MAT3004,Random Process
MAT3008,Computational Game Theory
MAT3016,Stochastic Process
MAT3017,Statistical Inferences and Series of Functions
BIO1501,Bio Inspired Design
CDS3005,Foundations of Data Science
CSD3010,Cyber Physical Systems
CSG2003,Human Computer Interaction
EAC4012,Body Area Networks
ECE4006,Sensors And Iot
ENG3001,Introduction to Computational Linguistics
MEA3015,Unmanned Aerial Vehicles
BMT1013,Human Resource Management
BMT2017,International Business
HUM1002,Emotional Intelligence
HUM2001,Behavioural Science
MGT1002,Principles of Management and Organizational Behaviour
MGT2003,Technology Entrepreneurship
CEC2001,Introduction To E-Commerce
CHY1001,Engineering Chemistry
CHY1007,Forensic Chemistry and Applications
CSA3005,Cloud Computing
